z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
240,0.9941344304576755,0.9941344304576755,68101,tiahnee,mason,31,shannonccircuit,yarrabin,budgewoi,2112,vic,19360617
361,0.48544803906361467,0.9699733431436898,36974102,kluske,alexandra,66,badenoch xrescent,middle ridge medical centre (cnr ramsay,mermaid waters,2032,vic,19230311
442,0.44000307115264947,0.4604471095267531,36993100,thomas,gao,20,newman morris circuit,bonnie doon,"",3103,sa,19451024
720,"","",186100,talyah,jobbins,4,rowan street,flt 211,newmarket,3350,qld,19551206
1175,0.5250971673357326,0.5250971673357326,74045101,stephanie,lodge,48,rogers street,retiremen tvillage,creswick,3123,nsw,19790914
1532,"","",74137100,lauren,hubner,24,sandover circuit,quandialla,somerset,3046,wa,19980315
2030,"","",74277100,jade,humphreys,1230,baracchi crescent,marando,cooran,2558,nsw,19871207
3847,"","",37974100,ambrosia,tomney,2,mirams place,the falls,brighton,3170,vic,19510611
4072,"","",38035100,charlie,green,16,fawkner street,rhodes cottage,wantirna,2192,nsw,19460304
4191,"","",1129100,jared,sewart,72,dalley crescent,brandywine stud,stockton,2655,nsw,19760518
1314,0.41488601289550736,0.9904184337670737,38152102,adam,matthwes,31,florence taylor street,"",toogoom,4825,vic,""
391,0.49158629200314846,0.49158629200314846,75473100,katelin,larocca,25,friendship street,vinda lodge,beecroft,5253,nsw,19660704
6911,"","",75645100,lucy,donaldson,19,marconi-harrington crescent,adelaide dental hospital,the entrance,7216,vic,19921021
7297,0.9925500138987969,0.9925500138987969,38946102,"",le grand,69,wrixon street,emerald gkrden,moree,3805,nsw,19570830
7543,0.9310887364636771,0.9866349653737911,39010100,joshua,nguyen,60,"",flowerydale,evanston heights,4216,nsw,19710419
8509,"","",39267100,matthew,beams,8,allan street,north star resort,st kilda east,3178,tas,19690823
9686,"","",76434100,georgia,aravena,21,longman street,hayfield vlge,tremont,2041,vic,19580326
9775,"","",39623100,lauren,blake,"",grainger circuit,nullagong,toowoomba,4559,sa,19570802
10448,"","",76631100,tyrone,smeaton,503,inglis place,deridgeree,frankston,6244,nsw,19380523
10779,"","",2976100,amy,herbert,45,novar street,castlereagh village,oaklands park,3842,"",19341120
9004,0.4600083366823206,0.4600083366823206,3015100,kelsy,fair,93,onkaparinga crescent,marina one,burwood east,2574,nsw,19541228
11334,0.9713819089874559,0.9713819089874559,3132100,joel,godfrey,3,dobell circuit,crathie,carlingford,3033,qld,19440716
11345,"","",76896100,troy,donkin,122,turner place,ballymannin,glenbrook,4127,nsw,19500719
11662,"","",40129100,mia,ang,8,medley street,lorne park,bonbeach,3000,tas,19541121
12472,"","",40345100,jaxson,chandler,36,boswell crescent,hillside farm,daandine,2170,vic,19280108
13764,"","",3796100,jamie,matthews,19,mckillop circuit,valbella,surry hills,2870,qld,19700522
14267,"","",77698100,tristan,clarke,8,miller street,ferncliff,springwood,2085,vic,19650124
14776,0.9812416831436112,0.9812416831436112,40982101,thomas,burford,6,"",eldamead,brunswick west,2047,nsw,19020125
706,0.6021119927071501,0.7404008063933647,4453100,lachlan,rolke,37,clancy street,lautersha,thornlie,6525,vic,19121007
17454,"","",4806100,connor,carbone,620,whittell crescent,aprt 504,chatham,4575,tas,19250825
18341,"","",78851100,georgia,moyse,5,pambula street,bonnie vale,mullingar,5046,vic,19130318
1687,0.4965861132889116,0.5109949811889972,41972100,ashleigh,bowerman,263,molloy crescent,flt 10,tallangatta,3061,nsw,19810423
19440,"","",5352100,holly,lette,19,watkins street,the willows,winthrop,2680,nsw,19120707
19646,"","",79196100,liam,clarke,37,simmons place,jacqoona station,craigmore,2539,sa,19940409
20548,"","",42569100,tara,marinos,35,"",alice street,tallangatta,2250,nsw,19851229
21378,"","",5872100,sam,beazley,28,port jackson circuit,little nest,cooma,6333,qld,19730421
21764,"","",79803100,timothy,egan,1,fergusson crescent,glendale stud,sunshine,2132,nsw,19430919
23273,0.5341310717307665,0.5341310717307665,80222100,isabel,blackwell,3,shackleton circuit,"",lilydale,7000,act,19790321
24440,"","",80534100,robbie,gabbert,3,jackie howe crescent,goolwa cottage,cleveland,2620,vic,19500625
885,0.4525840833160862,0.675256916933169,81779100,anna,hammill,66,stuart street,"",mooroolbark,3977,nsw,19680327
30643,0.91633722587353,0.9754834930132598,45399101,daniel,chandler,137,walsh place,stanton,west wollongong,2060,nsw,19400713
33743,"","",83192103,bradshaw,brooke,12,lazy acres,shearerplace,eaglemont,2765,vic,19440429
35025,0.9946572280446236,0.9946572280446236,9637101,samuel,majid,41,corinna st reet,"",jacobs well,2447,nsw,19811120
15094,0.4765542163636622,0.933217241790413,10003101,shelley,kadin,1,griffithplace,"",cremo rne,2758,nsw,19611223
36884,0.48296346107979127,0.9659178353438534,84084102,holly,dragas,7,elliott ztreet,"",east fr emantle,4701,nsw,19950218
37117,0.9720887043069312,0.9925468645354409,47206100,louis,hurem,29,blackwell circuit,holmeleigh,gawler west,2089,vic,19770827
37426,"","",47295100,joshua,neumann,28,burdekin avenue,"",tamborine,3013,qld,19841024
37476,"","",10322100,james,simmonds,53,allan street,wytaliba,narellan,2551,nsw,19110213
37905,0.9537832076562247,0.993833290446873,10439100,chelsea,waller,32,berwick place,rosedale,bolwarra,3129,nsw,19610723
38247,"","",10526100,alexandra,gomerski,17,dryandra street,berragoon,lindfield,2151,nsw,19001102
38634,"","",10640100,lauren,laing,9,kruse place,cawthorns,taren point,6210,qld,19351011
39111,0.9881761805738833,0.9881761805738833,10782101,ebonie,buccini,38,"",squarep ark,springfield,6148,qld,19030723
39914,0.9742173049970496,0.9926278674655746,84912100,caitlin,vincent,8,garsia street,rosehill,palmerston,7250,vic,19430326
40490,"","",85077100,danika,egan,20,evergood close,brentwood vlge,mansfield,5608,nsw,19061227
41447,"","",85333100,harley,green,12,maccallum circuit,ningana,mill park,6026,nsw,19770215
41683,"","",48494100,elki,gillis,43,holden crescent,tureevale,broken hill,4036,qld,19590609
42933,0.43528923876117376,0.43528923876117376,11857100,mason,nguyen,12,snowden place,merryvale,padstow,3078,vic,19900615
4982,0.44100458378364854,0.44100458378364854,85804100,adam,hilton,6,leichhardt street,clifden,rose bay,2257,tas,19060604
43695,0.9700339510430163,0.9927904021198166,12072102,joshua,rothe,1,schlich street,flt 17,empire bay,3494,wa,""
45143,"","",86354100,jarred,white,224,decima circuit,violet creek,warilla,2195,nsw,19861119
45874,"","",49670100,emiily,noble,28,coxen street,belmont park belted galloway stud,miami,4560,nsw,19650115
46344,"","",12777100,ryan,bruhn,34,rossarden street,buckhobble,mossman,6066,vic,19761010
46492,"","",49846100,jade,willmot,48,renny place,tubbarubba,bicton,2340,qld,19340114
46570,"","",49866100,joshua,gibb,48,geebung place,emmavale,bogangar,2627,wa,19070921
49044,"","",13541100,jacob,fullwood,23,parkhill street,locn 217,somerset,6163,wa,19731203
46513,0.49850748479569956,0.5033139181359115,50722100,chloe,droegemueller,15,may mills close,kullaroo,malvern,3388,nsw,""
51970,"","",51364100,joshua,mcclelland,108,mclaren crescent,omeo,newstead,5092,wa,19530526
52072,0.9775628102379768,0.9883652126324259,51392102,jack,norady,7,"",caergwrle,wanguri,7018,act,19000420
52384,"","",51478100,lachlan,danelon,1,port arthur street,richmond caravan park,surry hills,3175,vic,19930508
53414,"","",88679100,madeleine,baillie,41,mauldon street,rivulett cottage,cronulla,2914,qld,19730222
54327,"","",14980100,rosie,bridgland,10,kirkham place,villa 255,southbank,6536,vic,19010518
