z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
22,"","",36875100,daniel,bibby,18,templestowe avenue,francis chambers,kogarah,4571,wa,19220213
414,"","",109100,joshua,green,39,coreen place,"",highbury,2264,vic,19200512
530,0.9375538249341347,0.9927904021198166,73863100,wade,plaetrich,20,anthony rolfe street,old kapoola,trinity park,4814,nsw,19851222
1241,"","",74058100,isabella,cheshire,168,sturt avenue,niagara,killara,6006,tas,19830324
1338,"","",351101,alexander,wyeth,2,eddy crescent,"",broken hill,3270,qld,19740507
1526,"","",74135100,thomas,hage,54,oliver street,brae view,greenacre,6395,nsw,19351221
2251,0.470060308046674,0.9921471266607758,37515104,lukas,green,89,ainslie venue,"",heybridge,2216,vic,19171006
2355,"","",618100,latham,ryan,47,duffy street,"",quairading,4570,wa,19590602
2681,"","",74458100,alisa,dudley,845,osburn drive,mosman park,mackay north,2440,qld,19710305
391,0.5693515390201764,0.926212171312769,74657100,matthew,lewkowicz,23,maribyrnong avenue,west pira,burnie,5253,nsw,19471001
3930,"","",1053101,hayley,hardkuer,86,"",rosemunt,coffsharbour,4129,sa,19860616
4187,"","",74894100,jinni,pooke,214,wilkins street,herbert river,hawthorn,3939,qld,19500428
4478,"","",74966100,lexie,massara,12,elimatta street,dalkeith cottage,jubilee pocket,6210,nsw,19020825
4935,0.5160870913830924,0.5160870913830924,1339100,brianna,versteeg,1,bullock circuit,rosemount,daisy hill,5061,nsw,19471211
5846,"","",75362100,isabelle,ayres,406,sherbrooke street,kilpara,roselands,4285,nt,19320125
5895,0.40321491487552896,0.40321491487552896,1606100,lucas,thredgold,18,"",hairdressing salon,birrong,4207,qld,19801105
6086,0.9724237828823552,0.9905496488699075,75428100,india,paine,8,beazley crescent,rhodes cottage,samson,3084,vic,19781005
5011,0.4322183313090711,0.4322183313090711,75614100,toby,"",3,redcliffe street,falls hmstd,bundaberg,3020,nsw,19650903
6862,"","",38822100,cooper,hingston,82,duffy street,wallaces ck,northgate,7290,qld,19541128
7148,"","",75718100,joshua,coleman,15,stumm place,eventide homes,petrie,2165,qld,19010413
7392,"","",2032100,harrison,wiseman,23,antill street,cooranga,greenacre,2550,vic,19900111
7499,"","",75818100,connor,lowe,47,monkman street,bishops creek,lower templestowe,2153,nsw,19731203
7996,0.5462605019911637,0.5462605019911637,39129100,jack,blake,105,arakoon crescent,"",willetton,6104,vic,19970422
8104,"","",39150101,amber,monaghann,46,castieaud street,the links,merrijig,6016,qld,19190511
8965,0.4589376286598664,0.6176175159223516,39398100,joshua,mctier,39,booroondara street,"",annandale,4054,nsw,19010908
9032,"","",76256100,gus,waller,33,battersby circuit,killarney,theodore,2099,qld,19730425
9969,"","",2747100,georgia,mcsporran,4,bettington circuit,cherrybank,mildura south,2017,vic,19520417
11037,"","",3046100,chloe,ryan,22,dash crescent,congreave court,flora hill,3046,nsw,19950905
11143,"","",39989100,nicholas,ryan,414,bendora crescent,cadagi grove,somerset,2380,qld,19701018
2316,0.4608810672798143,0.5747591913122978,76922101,rya h,mazzone,3,tepper circuit,gungahlin mar ket place,"",2407,nsw,19660901
11623,"","",40119101,ella,wraight,16,cockburn street,nazareth village,myrtleford,4670,nsw,19190622
12448,"","",40340103,caitlin,clarke,21,kingscote rescent,"",eatons hill,3550,sa,19250331
13185,"","",3640100,madeline,mohring,333,batchelor street,sec 1102,cranbourne,2710,nsw,19870905
13391,0.9952227536000962,0.9952227536000962,77460100,alana,campton,140,muntz street,rosetta village,lavington,2287,qld,19240529
13465,"","",40624100,charlotte,lowe,25,ngunawal drive,st vincents medical centre,ingleburn,5092,vic,19450213
13679,"","",77537100,cameron,vincent,10,"",rowethorpe,burnside,5301,nsw,19660825
13727,0.8100204461317372,0.8807767615149235,77553102,fraser,dixon,"",phillipavenue,cherrybank,port noarlunga south,6076,nsw,19860924
6464,0.4257042895277706,0.4257042895277706,3978100,michaela,commons,489,fidler court,colbes,newcomb,4504,vic,19360314
16710,"","",4607100,sam,campbell,14,campaspe circuit,aminya vlge,wrattonbully,4305,vic,19810718
17458,"","",41721100,imogen,excell,32,kinchela crescent,warrigunya,melville,2166,nsw,19620519
17863,0.930338281239879,0.930338281239879,41822101,andrsew,rafanleli,180,doerner place,roseg len,cooranbong,2260,nsw,19930929
18032,0.974094296076231,0.9927477491048532,78767102,katelyn,jolly,56,lendon place,lachlan view,wellingtln point,3931,qld,19980124
18260,0.988063291460518,0.9946149626479851,78832102,alessia,laing,1,braddon pdlace,the gums,white beach,3146,vic,19370801
18552,"","",5104100,blade,boyes,7,edmondson street,hornby lighthouse,ballarat,2045,qld,19470103
19098,"","",5256100,james,campbell,5,solander place,brentwood vlge,canley heights,2073,vic,19991228
19252,"","",42198100,taylor,apted,94,currie crescent,eellam park,kyabram,2041,wa,19471230
19589,"","",79180100,emiily,george,"",magrath crescent,vivigani,berwick,3051,sa,19400505
20314,"","",42500100,eliza,ilievski,"",blamey crescent,tarkarendi,st albans,3105,vic,19141030
21082,0.40423434238164313,0.5198572808042371,42709100,lauren,waller,17,langridge street,"",surrey hills,3125,vic,19721212
21541,"","",42844100,ridley,maczkowiack,95,bindel street,the rocks,st huberts island,2047,vic,19230131
22306,"","",43067100,olivia,webb,1,bugden avenue,tarmac,hope valley,2170,vic,19540226
22483,"","",43111100,d'arcy,kyriacou,"",ormerod place,terra nostra,beaumont,2747,vic,19310203
25607,"","",80874100,rosie,fair,20,dowling street,cornvale,doolandella,2800,nsw,19281117
26764,"","",44315100,bradley,dehoedt,114,onslow street,tourist caravn park,villawood,2143,qld,19180309
26931,"","",7372100,adrian,kulacz,24,mclean place,yengola,sunshine,3039,nsw,19230311
27024,"","",7396100,ethan,koopman,11,"",mlc centre,garran,4560,wa,19320422
27937,0.9941373313217248,0.9941373313217248,44652101,joe,inall,128,mcconnel xrescent,appleglen,bellevue hill,2325,"",19971031
28132,"","",44709100,benjamin,white,114,kallaroo road,flt 45,floraville,5081,vic,19381027
28312,"","",44758100,alexander,porra,10,ankaa place,honeywood,highbury,2173,sa,19960408
10308,0.41801565082404074,0.4764531444228415,44831100,evan,reid,9,wilson street,st georges basin retrmnt vlge,scarborough,4221,nsw,19970521
29525,"","",81987100,flynn,de angelis,107,farnell place,riverview heights,wanniassa,3636,nsw,19410207
30242,"","",82206100,hayley,richmond,1,limestone avenue,carrweena,applecross,2229,nsw,19190731
