z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
0,"","",id,firstName,lastName,streetnumber,street,address1,address2,areacode,stateCode,dateOfbirth
287,"","",73799100,danielle,pinto,8,mersey place,"",molong,3160,nsw,19560316
415,"","",36985100,lawson,helling,4,vickers crescent,surama,condon,4032,sa,19450430
2934,0.9867024967950256,0.9945658731879131,783102,shakira,ryan,363,bailes jcourt,"",renown park,3186,nsw,19831102
3640,"","",37915101,stephanie,frosina,9,hooley lace,glen qkuoin,belmont,3797,vic,19151111
5417,"","",75243100,simone,weaver,59,ash place,lingard,the entrance,5045,nsw,19370619
5799,"","",1574100,sophie,jesser,20,wrenfordsley place,tundarra,sheldon,5343,qld,19270705
6361,0.40983287968256793,0.40983287968256793,38677100,isabelle,morrison,42,lyndon street,rosehill,alice springs,6028,qld,19610430
6917,"","",75647100,jairus,noble,1,macleay street,walhalla,port macquarie,2089,qld,19700517
6922,"","",38840100,teileah,browne,7,cross street,tinaroo falls,sylvania,4556,sa,19950110
196,0.503492334668731,0.503492334668731,39030100,chloe,cenatiempo,25,shepherd street,laelarnie,surry hills,5025,vic,19340407
7864,0.9784132964281004,0.9900857943774575,39095101,jakob,nguyen,2,ashcroft c rescent,lindenleigh,sandgste,5087,qld,19600828
9891,"","",2728100,charlotte,burnell,"",bradfield street,the wharf complex,round corner,3630,qld,19040216
10423,0.9909251903137,0.9952227536000962,39792101,robery,fernando,58,morrison street,hopefield,yangebup,2125,wa,19100928
11076,0.5207670316463968,0.5355058255267228,3056103,strahger,aler,90,malbooma,seal place,nhill,5065,nsw,19350911
11635,0.9943027415112606,0.9943027415112606,40121101,chelsea,bowernan,26,murranji street,teasdale park,elsternwick,6147,nsw,19631121
12216,"","",3378100,alex,green,23,kalgoorlie crescent,scenic lodge,invermay,3500,vic,19160215
126,0.4429475592807559,0.9933011955181132,77416100,harrison,armfield,51,"",upper newee creek street,forbes,2281,nsw,""
13533,"","",3736100,simone,nguyen,150,lucy gullett circuit,st vincents hospital,collie,4741,sa,19030906
8571,0.9872364207768562,0.9933607062578763,3752102,kayden,white,51,arthur icrcle,nanjomara,appin,2448,wa,19750709
1743,0.4069437701495186,0.5124808347188639,40710100,julia,morrison,57,endeavour street,wyncliffe,"",2284,wa,19110521
14304,"","",3941100,william,koslowicz,57,thermeda place,orana hstl,labrador,4207,vic,19900329
14441,0.44057278665720434,0.9939115630013113,77747103,nicholps,giurelli,2,ratcliff ecrescent,"",colac,3427,wa,19581222
14883,"","",4094100,hannah,gillard,15,mcgrowdie place,villa 2,eudunda,3016,vic,19910306
14972,"","",77887100,jake,clarke,3,salomons place,professional centre,labrador,3199,wa,19870913
15019,"","",41052100,toby,slape,93,darebin place,"",leichhardt,2444,nsw,19910703
15147,"","",4161100,"",d'emden,93,edmondson street,sheidow park medical centre,lalor park,4183,vic,19030109
15327,"","",4217100,"",butt,35,baynton street,gundaline,lalor,5571,nsw,19100202
3401,0.4177845658833545,0.615546087235272,78277100,eva,crouch,92,rohan street,"",watsonia,3146,sa,19100502
16492,"","",41450100,jack,shepherdson,39,mchale place,walkabout palms,nollamara,2830,nsw,19580324
18797,"","",78971100,finn,mcgregor,137,airey crescent,"",para hills,2130,qld,19240911
15877,0.6249079815912417,0.6249079815912417,42222100,ebony,miles,46,castleton crescent,"",beaudesert,7260,nsw,19651111
19481,0.4999059229840936,0.7672891323324814,79151101,ella,cambpell,24,de vis place,melros e clinic,preston,2138,qld,19310103
20473,"","",42550100,elizabeth,drechsler,28,mcmaster street,park hall village,boorowa,4814,vic,19740405
20729,"","",79507100,claire,green,"",totterdell street,mt pleasant,lismore,2517,qld,19980107
18646,0.4851423751997247,0.4851423751997247,79510100,benjamin,bramble,51,currie crescent,"",o'connor,2233,vic,19550614
20794,"","",42639100,lillianna,green,10,maitland street,eventide homes,cedar creek,4068,sa,19070818
20850,"","",5729100,mitchell,verco,56,caley crescent,yarrandale,tennyson,3300,nsw,19930827
5686,0.4109022787839683,0.9948031445632672,42680101,olivai,redi,28,john russel circuit,atholne,palmerston,2526,vic,""
20989,"","",42686100,madison,verco,63,fenton street,muralappi,blacktown,3940,nsw,19020914
21562,"","",42851100,blade,stanley,19,lamond place,springfields farms,ngunnawal,3194,nsw,19550810
