z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
277,0.43973599380170525,0.43973599380170525,36953100,lauren,kontopoulos,5,myall street,highvale village,pennant hills,3000,nsw,19650911
847,0.9842353647096462,0.9842353647096462,37111100,joshua,campain,88,moynihan street,cobbedah,woori yallock,4701,sa,19291224
1077,"","",284100,aneka,bishop,4,alroy circuit,amherst village,warracknabeal,5159,vic,19390125
1958,"","",74259100,maddison,campbell,61,haystack crescent,locn 8200,hamilton,4875,vic,19750822
2157,"","",559100,ella,cradock,1,starke street,loyt 19,seven hills,4305,sa,19550717
2648,0.40697639847627715,0.40697639847627715,74449100,sarah,noble,3,berne crescent,fernlea,oakleigh,6022,wa,19641031
4905,"","",1329100,bianca,hare,242,morehead street,tinaroo falls,huonville,4721,nsw,19391025
5339,0.9925282939886803,0.9925282939886803,75219100,kimberley,niebling,7,dent place,spring ridge,st albans,2171,nsw,19710225
5741,"","",75334100,jaykob,mason,11,macarthur avenue,coralyn,joondalup,4715,qld,19860905
6172,0.6256801806895517,0.6256801806895517,38622100,samantha,gowling,"",gellibrand street,"",yirrkala,3451,nsw,19171025
8493,"","",2352100,liam,passmore,35,barrett street,little springhurst,warilla,3114,nsw,19790208
9019,0.9933607062578763,0.9933607062578763,39414100,alicia,caruana,98,carumbi place,calala farm,samford,2115,nsw,19750712
1534,0.4398118509123651,0.4398118509123651,2527100,ryan,berry,167,swanton street,sit 50b,waverley,2446,vic,19760625
9129,0.775926013895857,0.9372698076835801,2536102,bradshaw,charli,31,banambila street,mindalaya ppts,tanilba bay,7270,vic,19540509
10988,"","",76790100,devan,netherton,43,higinbotham street,"",centennial park,4870,nsw,19400703
11686,"","",40136100,"",matthews,17,fawkner street,wirreander,mclaren vale,7249,qld,19960608
12085,"","",40250100,mya,dearing,20,sheehan street,sherwood,springvale south,5351,nsw,19201007
13689,0.838879332474014,0.9624960423924022,3775102,"",carmody,10,salsola street,baptist retirement,munruen,2071,qld,19414230
13732,"","",40690103,isabella,stepehnson,"",jensen street,silverpo int,campsie,6016,nsw,19491002
13924,"","",40742100,kye,lowe,62,wattle street,port hedland regional hospital,cooroy,2422,wa,19630724
14617,0.9899137687927617,0.9899137687927617,40941100,clain,campbell,4,westbury circuit,mlc centre,cardiff,6053,sa,19460630
15518,0.9895588436932962,0.9895588436932962,78041101,isabella,caruana,3,cambridge street,allandle,coffs harbour,3175,nsw,19130429
15773,"","",78112100,casey,coffey,19,muecke place,"",boondall,2630,qld,19730215
17668,"","",41773100,meg,fitzpatrick,38,burnett street,walkers orchard,annandale,2250,nsw,19430528
17986,"","",41858100,kallie,nguyen,15,john cleland crescent,brentwood village,armidale,3132,nsw,19080810
18429,"","",5069100,alice,bristow,15,mcinnes street,maranui,new farm,3931,vic,19961217
18427,0.714821960279512,0.9912478307257118,41979102,corie,mcgarty,8,galleghanc ircuit,hillen dale,malvern east,2614,sa,19801125
18641,0.9530407745467243,0.9530407745467243,78934101,michael,speight,3,freehill sgreet,stonefi eld,harde n,4870,nsw,19110922
3934,0.5447639316966151,0.9694932806315548,5255101,nichnolas,holme,53,notting court,"",newmarket,3013,nsw,19041203
19192,"","",42181100,lachlan-john,gibbett,17,coghill close,pinelea,anglesea,5600,qld,19071018
20404,"","",42530100,andrew,teague,54,catchpole street,phoenix park stud,st albans,2560,nsw,19510812
20588,"","",79463100,jordan,petersen,3,william webb drive,alice street,norwood,7250,vic,19740219
20792,"","",79528100,douglas,tollner,38,darke street,hybernia park,hazelgrove,4404,nsw,19581113
21429,"","",5885100,emiily,tarn,50,fielder place,killarney,camira,5090,qld,19671204
21811,0.556582146036374,0.556582146036374,42923100,erin,dutson,17,hacke place,trevenson park stud,cronulla,3193,sa,19411225
3463,0.46047977659499595,0.6485403732744801,79882100,samuel,pascoe,5,blackburn street,"",surrey hills,2200,nsw,19681210
22979,"","",80135100,david,matthews,651,waratah street,seldon,barooga,5680,qld,19170822
24029,"","",80424100,jackson,dixon,10,churchill way,vila 178,keiraville,3194,qld,19160813
24140,"","",80454100,ella,richmond,62,paloona place,warrol,granville,7054,qld,19600621
24600,"","",6722100,ash,greenhalgh,33,britten-jones drive,summerwood arabians,hellyer,3192,nsw,19831202
25229,"","",80768100,jeremiah,moody,10,downard street,bolinda vale,south melbourne,3851,nsw,19340730
25671,"","",7030100,jake,alexander-grieve,31,bushby close,ashgrove farms,north sydney,5501,vic,19080114
27465,0.4655387276595271,0.9952227536000962,7525101,alexanra,paterson,30,luehmann street,"",semaphore park,6169,"",19731231
28780,0.9574590109447012,0.9934197647450789,44887102,jacob,mahhony,2,ainslie avenue,killarney,nowra,3149,qld,19280412
30315,0.8700746395259776,0.9507406859498939,8293102,jack,kovacic,10,totterdell street,the willows,port macyquarie,2121,vic,19820202
30400,"","",45328100,jacob,penaluna,221,fisken crescent,deswod,north curl curl,2747,tas,19730922
31150,"","",45538100,niamh,mccarthy,11,majura avenue,ivory lodge,nairne,6163,nsw,19560507
580,0.42011813874001847,0.9586177625840603,45624102,mcbyrde,isabella,"",macgregor street,market towm centre,mitcham,5014,nsw,""
32113,"","",45818100,braedon,dukeson,7,norman fisher circuit,the sandys,bronte,7011,nsw,19340214
32240,0.6818946559401046,0.6818946559401046,82770100,april,crook,2,bemboka crescent,wispering pines,williamstown,2143,qld,19430726
32521,"","",45938100,saara,drilling,8,sherbrooke street,rushall park,mill park,3465,qld,19431017
34401,"","",9451100,spencer,merkoureas,14,macpherson street,peridon vlge,norah head,4506,act,19060626
35476,"","",46749100,campbell,landauer,78,schaffer place,parkridge villa,mount pleasant,3230,wa,19350726
36583,"","",47058100,reece,ryan,57,moonta place,medical centre,telina,3763,vic,19171212
36767,0.9809954589769497,0.9809954589769497,84053100,isabelle,gibb,12,mcdonnell close,camboon,parkinson,4055,qld,19510111
36926,0.9851281100581999,0.9873017720783435,84096100,william,vrettis,7,petterd street,the gums,ivanhoe,2224,nsw,19690208
36936,"","",10163100,brianna,compton,52,wattle street,kersley mews,south melbourne,4740,qld,19380413
37351,"","",47270100,tiarna,bishop,45,lambrigg street,seagulls football club,como,2381,vic,19690519
38599,"","",47624100,isabella,rundle,"",bibb place,goods la junee street,sunshine,4610,nsw,19740926
19838,0.4321358978009322,0.4321358978009322,10736100,hayden,marshman,23,bendigo street,brentwood village,ringwood,4217,vic,19140222
