z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
81486,"","",22525104,annja,wehr,226,longmore crescent,"",camp hill,2345,nsw,19911030
21318,0.9188919140343563,0.9903268354039291,5858102,taylor-saige,white,4,beaurepairec rescent,cranbr ook,mount eliza,4350,qld,19710615
65205,"","",18034100,harry,noack,25,kemsley place,the sarina centre,mulgrave east,3033,nsw,19150318
1860,"","",488100,liam,crouch,2,baynton street,bendarra,park orchards,2839,vic,19370627
66102,"","",18279100,samuel,hipkiss,40,burraly court,evergreen,hackham,4746,sa,19960910
63705,0.9829016356968237,0.9916065150941148,17604103,bella,mcgregod,8,camero n street,golden ponds,raymond t errace,5070,nsw,19680618
84432,"","",23334100,peter,manos,238,paul coe crescent,chanak,hastings,7006,vic,19111210
92541,"","",25599100,carmen,nguyen,15,murchison street,summer hill,wynnum west,2558,nsw,19070709
82206,"","",22714100,phoebe,bishop,125,minehan place,finis river,orange,2093,vic,19420413
29439,"","",8045100,ryan,hanigan,12,manuka village,roskhill,mount eliza,2221,vic,19130520
50373,"","",13910100,sybella,wiseman,10,denovan circuit,phillip town,giralang,3675,vic,19050531
122145,"","",33821100,emma,rafanelli,38,westgarth street,kapeka,broken hill,3825,vic,19711024
83265,"","",23016100,jared,misner,125,dartnell street,mortlock house,oatlands,2065,vic,19070129
16392,0.9694768856720056,0.9803851062558803,4519102,elly,miles,257,maddisno close,byaydo,corio,4211,vic,19330117
115788,"","",32062100,isaac,webb,7,lycett street,tumbalong,conder,2145,vic,19771122
26268,0.9778827506202162,0.9778827506202162,7190100,sophie,reid,4,phillipson crescent,tressing fields,norwood,2065,nsw,19520511
82197,"","",22711100,jeremy,crookall,7,blackman crescent,kookaburra village,gleneagle,2582,nsw,19751025
58710,"","",16175100,coby,jardine,"",namatjira drive,ashmill park,lakemba,4300,nsw,19720514
21210,"","",5827100,ethan,"",15,findon place,baroona,wallsend,5211,sa,19051221
29601,"","",8094100,luke,crouch,7,ulverstone street,killarney vale apartments,gorokan,3612,vic,19520105
112926,"","",31257100,samuel,sevel,10,sidaway street,"",paxton,2025,wa,19430905
112158,"","",31049100,jasmin,miles,15,waite street,ainslie house,moggs creek,5082,nsw,19430922
76719,"","",21239100,hannah,leaver,2,ainslie avenue,perry park hostel,north rocks,3212,vic,19530213
11250,"","",3109100,kirra,vatskalis,164,wilkins street,"",ashfield,2196,vic,19721218
107376,"","",29716100,alana,bradshaw,43,gatton street,buena vista,blair athol,6152,qld,19260703
76056,"","",21052100,jesse,tavis,36,lodder place,sherwood,albury,2319,nsw,19000308
29997,0.9047488770277563,0.9811388210108847,8204102,andrew,morrison,35,fullagar crescent,wildefell,mount pleasant,2444,wa,19111025
96825,0.8815212288951185,0.8935649440348565,26799102,noah,ryan,14,wheeler crescent,port 3kroombit,stanmore,3500,vic,19940502
125748,0.9723337451915458,0.9865201275032448,34811103,sean,diso,12,rossarden street,pynari,kundibakh,2508,"",19790903
33141,0.8490447095796749,0.9712076798011805,9097100,isabella,mcneill,385,lachlan street,gillin park,scotland island,2800,nsw,19031120
129804,"","",35933100,riley,bowerman,4,beasley street,valbella,miami,3184,nsw,19020819
7359,"","",2022100,dante,preo,3,nulsen circuit,grey oaks,salisbury,4810,vic,19861116
46275,0.9913967676157864,0.9918818867764032,12757102,isabella,whiteway,14,nulsen circuit,flt b4,batemans bay,2880,wa,19150115
9895,0.9952227536000267,0.9952227536000267,7208100,ryan,shady,28,henry melville crescent,kirkdale,blackall,3825,vic,19940813
50247,"","",13879100,matilda,misrachi,12,want place,symes grove,oakden,2015,nsw,19500917
417,0.4096728372836356,0.9849377084648816,110102,naomi,baugh,151,drummond row,berkeley vlge,riverslne,5112,wa,19220110
118896,"","",32922100,jean-claude,hoffman,16,mccawley street,"",robertson,2480,nsw,19390529
86754,"","",23980100,jared,wheatley,11,kneebone street,loughmore,dirranbandi,4567,qld,19440804
70191,"","",19419100,sascha,wiseman,276,slight place,kindilan,lalor,2016,vic,19730716
15123,"","",4154100,connor,kullmann,"",dumas street,murray bank,murray bridge,4036,tas,19690907
22731,"","",6207100,emiily,matthews,27,alice jackson crescent,pearce shoppng centre,dundowran,4563,qld,19620521
96321,"","",26660100,connor,watkin,35,haystack crescent,port hills,ashfield,2230,vic,19450810
126015,0.9032062792315226,0.9951510236855574,34884101,dylan,boxhal,37,lindrum crescent,locn 24,rochedale south,4076,wa,19670113
5691,"","",1541100,caitlin,calnan,20,martin street,rowethorpe,mount warren park,2559,nsw,19490316
13761,0.4008280265312955,0.4315998932104365,3795100,taliah,noble,1,mccann street,suttor cottage,campsie,3220,qld,""
