z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
126042,"","",34891100,sophie,kiss,56,lobb place,cherrymount,mundulla,2464,qld,19670529
44946,"","",12404100,bailey,coulson,14,rouse place,mt pleasant,belmont,2076,qld,19180409
1868,0.4552062121394044,0.4552062121394044,15921100,adam,lomman,8,o'loghlen street,glen elgin,glen innes,3051,qld,19350117
28515,"","",7796100,"",hyland,4,abbott street,hstgs,wantirna,2360,qld,19261214
72378,"","",20024100,patrick,crossman,43,dumaresq street,roskhill,wentworth falls,3960,nsw,19950327
125214,"","",34672100,arabella,arozoo,15,falkiner place,phillip lodge,coombabah,3550,sa,19041020
131556,"","",36422100,rhiannon,deakin,8,woolcock street,"",homerton,7215,qld,19380814
125628,"","",34780100,joel,kastelik,21,dandenong court,kilburnie,port macquarie,3028,qld,19501127
87546,"","",24196100,alice,hewson,188,mackellar crescent,myliton,melville,2300,vic,19301207
69921,"","",19343100,leah,murton,29,chewings street,st clair park,bondi junction,2071,vic,19540101
127770,"","",35364100,adrian,clarke,23,bean crescent,rowethorpe,mckinnon,4415,nsw,19900125
108114,"","",29930100,mackinley,franzin,1014,davies place,creswick,biggera waters,2594,nsw,19880929
120798,"","",33451100,ryan,campbell,780,mahon place,highland park,toowoomba,2763,qld,19450506
17610,"","",4848100,joel,cordiner,69,chandler street,braemar vlge,blackmans bay,2213,vic,19380814
36543,"","",10057100,lucas,matthews,51,yarrow place,wattle place,adamstown,2010,vic,19930116
108471,"","",30025100,bailey,field-dodgson,22,mataranka street,"",cloverdale,2335,wa,19510626
82497,"","",22801100,christian,clarke,27,enright crescent,unt 52,the entrance,3629,nsw,19950612
59718,0.9952227536000267,0.9952227536000267,16466100,leon,schwetlik,28,rowe place,mirani,south grafton,2223,wa,19140707
19620,"","",5403100,lara,bissett,4,leist street,harlyn,wowan,5290,qld,19111126
96309,"","",26656100,nathan,reid,6,kemsley place,mclean vlge,rye,6169,nsw,19440725
92670,"","",25635100,ella,ho,187,gillespie street,guest village (cnr bullcreek d drive,junee,2750,tas,19730529
9375,0.9311144664192046,0.9670667616527043,2600102,pearson,royans,13,sharlandplace,coryndirk,umina beach,6121,nsw,19451108
11118,"","",3067100,georgia,kouimanis,208,gouger street,tourist park,toowoomba,4492,nt,19130904
69204,0.48076781694558796,0.48076781694558796,19133100,jade,nguyen,14,"",flt 10,hawthorne,3585,vic,19201112
72585,"","",20085100,hayley,matthews,36,ferguson circuit,western lodge,hurstville south,4724,nsw,19680102
7530,"","",2077100,kate,bullivant,13,carss place,unt 1,burnie,6172,vic,19610506
69156,"","",19121100,gregory,lodge,48,maynard street,bucrana,st ives,3977,act,19870226
26727,0.9799860417080816,0.9799860417080816,7316100,jacob,koral,10,kissane crescent,raffa estate,petersham,2800,qld,19540407
41061,"","",11328100,kane,ryan,412,mackay crescent,geregarow station,bayswater,6158,sa,19991125
117027,"","",32402100,joel,campbell,18,quiros street,australia arcade,newcastle,2800,nsw,19540707
51822,"","",14305100,noah,whiteway,17,somerset street,the mount,potts point,3000,qld,19310519
13641,"","",3764101,kai,dixon,16,hirschfeld crescent,claphamdfyrms,"",2121,wa,19400905
84366,"","",23313101,sara,brun,18,buxton street,glen el gin,"",2114,vic,19150304
40809,"","",11259100,oakleigh,de burgh-day,21,oliver street,sea breeze caravan park,tarragindi,2825,vic,19291001
19695,"","",5423100,harry,moody,6,ruwoldt place,yacklin,wundowie,2770,vic,19470306
675,0.9895661266481023,0.992935253632999,175100,emiily,berresford,27,crisp circuit,villa 3,frankston,3289,vic,19000212
3777,"","",1019100,emiily,mcelwee,10,tipiloura street,harbison vlge,roselands,2130,wa,19191016
55287,"","",15259100,carlin,dixon,11,costello circuit,wildwoods,helensburgh,3550,nsw,19901228
85095,0.9874108718810432,0.991212447445911,23520100,bethany,covino,31,goodman street,renown,tallygaroopna,3183,sa,19340429
81777,"","",22600100,tiana,bartel,59,swanton street,redhill,"",2170,vic,19690210
9171,"","",2542100,charlotte,dichiera,"",arthur circle,warra warra,forest lodge,2161,vic,19390521
954,"","",257100,christopher,mccarthy,211,greenway street,glenapp,maryborough,3030,vic,19510402
92321,0.43358132275634476,0.43358132275634476,33615100,charlie,wilde,29,moten street,bryntirion,birchgrove,2233,nsw,""
122694,"","",33974100,jessica,boase,4,totterdell street,upstairs flat,marsden,4521,nsw,19590401
15079,0.6065658910535131,0.6065658910535131,29601100,mia,frahn,49,mimosa close,wooloomolan,"",2168,act,19461210
19626,0.579717118150825,0.579717118150825,10372100,dylan,trigwell,14,beedham place,st francis vlge,toowoomba,4573,nsw,19390911
32157,0.768858183899211,0.9699363672035363,8827102,michael,leszczynski,21,knox street,sherwood,devonport,2620,tas,19260217
4062,"","",1094100,david,birthisel,37,kambalda crescent,gliding gulls,hurstville south,2650,nsw,19250126
5477,0.5726227737346259,1.0,25084103,har riet,couzens,"",noarlunga crescent,sunnyview,dianella,2065,nsw,19110115
45705,"","",12606100,nathan,newbound,4,mayo street,amelia,hackham west,3155,vic,19730519
12168,"","",3367100,emma,bissett,1238,murranji street,berkeley vlge,belmont north,2075,wa,""
123684,0.9840223361728206,1.0,34241104,spencder,etherington,97,lutwyche street,"",lang lang,2749,nsw,19980924
26814,"","",7340100,jack,garden,12,burkitt street,kelanna,werrington,3941,nsw,19230418
81015,"","",22398100,holly,coleman,47,temperley street,legacy units,"",2190,vic,19060708
96162,0.9709461752443364,1.0,26616102,ameoia,benjamin,72,vagabond crescent,coomerang,rowville,5108,nsw,19860831
720,"","",186100,talyah,jobbins,4,rowan street,flt 211,newmarket,3350,qld,19551206
32193,"","",8835100,katelyn,brooker,14,leichhardt street,sec 107,noble park,3173,vic,19950218
99693,0.5524802802049322,0.9876405782251743,27601101,tiarna,krajnc,134,darby street,killarney,east melboirne,4650,vic,19481129
89103,"","",24626100,taliah,edmeades,37,tallon place,adventist retrmnt vlge,woorim,3976,vic,19501113
97113,0.991489635630682,0.991489635630682,26869101,jasmine,reid,47,marr street,court nyits,rowville,5074,nsw,19100103
119463,"","",33069100,maddison,green,"",buckmaster crescent,"",bundaberg,3196,sa,19160208
94032,0.8738510198917603,0.9942053940014093,26020101,adam,meinhold,41,mugga way,canberr a hse,sylvania,2224,nsw,19060705
75564,"","",20910100,chloe,ejlak,27,carrodus street,triton units,cooloongup,2034,vic,19600413
2775,"","",739100,adam,britten,11,smyth place,tesbury,edenhope,2304,qld,19170906
22038,"","",6034100,olivia,ahmed,58,craydon place,mayfair,mount helen,2103,nsw,19070421
106053,0.9909191943925665,0.9909191943925665,29352100,lara,piening,2,phoenix place,innes est,winchelsea,5255,vic,19241110
62127,"","",17150100,rhys,dudley,7,castley circuit,bulala,nabowla,2061,vic,19330426
79068,"","",21868100,"",white,19,gilmore crescent,"",yarraville,5025,qld,19520515
56139,"","",15469100,sophie,sherriff,8,coolac place,the stables,toowoon bay,4606,nsw,19431121
96435,"","",26693100,emma,green,175,gosse street,new centuary,kingsthorpe,4125,vic,19951115
54909,0.9242855614084061,0.9242855614084061,15145100,rachael,toseland,26,freeling crescent,creekside cottage,ramsgate,5109,vic,19400821
41160,"","",11355100,chelsea,mastins,126,strangways street,"",gosford east,5153,wa,19020328
