z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
97104,1.0,1.0,26868100,holly,presley,66,thomas hart street,beaudesert caravan park,ellesmere,3137,qld,19730719
74235,0.9871764379333465,0.9936734116064485,20545102,jasmine,colantoni,19,croton street,sec 3 01,kalamunda,4703,nsw,19201128
30765,"","",8418100,shelbey,"",66,nanda place,longlands farm,davistown,2170,qld,19670304
61722,"","",17034100,millie,mccarthy,67,bandjalong crescent,university shores,bayswater,2230,qld,19440107
83772,"","",23155100,cameron,burleigh,6,chaseling street,ascotvalley,denmark,3825,vic,19551008
108648,"","",30072100,riley,clarke,352,kootingal street,pine hill,katherine,2264,nsw,19990519
13554,"","",3743100,renai,blackwell,93,salsola street,chanak,burpengary,2036,nsw,""
43194,"","",11927100,ryan,braniff,29,mcclintock street,rosehill,cabramatta,2145,wa,19200703
77886,"","",21558100,archer,posnakidis,15,federal highway,canberra centre,riverwood,5110,vic,19151229
115551,0.9886114525733691,0.9948714595227832,31996101,william,bluneden,13,sturt avenue,eddington,bayview,4109,vic,19360823
99024,"","",27407100,vincent,matthews,76,beetaloo street,elmwood,gunn,2880,vic,19671112
35676,"","",9810100,emma,soeroes,39,sturgess place,glenavon,port macquarie,2539,nsw,19191213
59145,"","",16299100,daniel,hearn,1874,gamor street,mongarlowe street,belmont,2594,vic,19370318
109212,"","",30224100,samantha,bishop,161,massie place,la reine,cranbourne north,2614,qld,19250914
90927,"","",25130100,joel,reid,35,ey place,willaroo,bethania,4107,qld,19660422
3225,"","",862100,sophie,hage,1,perry drive,graylands,maribyrnong,4720,nsw,19140921
50982,0.975523544943532,0.9952227536000267,14082102,thomas,churches,23,tauss place,nittymarra,bayswater,3031,"",19340812
73827,"","",20427100,montana,minorchio,14,gamor street,hybernia park,yeerongpilly,5250,vic,19100925
99561,"","",27563100,mia,millar,114,port jackson circuit,dugout 65,bundaberg,2142,vic,19600124
19671,"","",5418100,domenique,sager,11,fitzmaurice street,rosetta village,currimundi,4818,vic,19050831
40106,0.447613556474902,0.447613556474902,20701100,eliza,godfrey,44,jemalong street,rowethorpe,hawthorn,6006,vic,""
92628,"","",25621100,macey,rutkiewicz,49,wilkins street,rowethorpe court units,coomera,2144,vic,19760710
63912,"","",17661102,jasmnie,rawlings,27,barry drive,riggs creek vineyard,pullenvale,3028,qld,19020820
19563,"","",5388100,mitchell,clarke,114,pohlman street,mar-lea,eastwood,3195,"",19260609
26142,"","",7156100,eliza,jolly,11,wybalena grove,drumwood,aroona,3030,"",19861213
95406,"","",26397100,zachary,clarke,204,olney place,wandary hill,innaloo,2166,qld,19070608
62658,0.6799360513841215,0.9916322720619642,17309100,lachlan,ploesser,31,ranken place,old dairy,mount isa,3066,"",19950415
87222,"","",24106100,mitchell,agius,57,macpherson street,bletchly park,narooma,2830,nsw,19430605
99018,"","",27405100,timothy,boyle,29,mcdermott street,allandale,rosebud,6167,wa,19711109
102111,0.962663666064054,0.9924797209199857,28235100,karissa,bergamaschi,67,cruikshank street,lewin lodge,north ward,3175,sa,19100924
11856,"","",3286100,darcy,tweedle,49,maidment place,kilvinton village,millmerran,5086,nsw,19240319
110079,"","",30472100,nikita,reid,88,pandanus street,mallow,port pirie,2539,vic,19250323
