z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
106512,"","",29474100,annika,miles,5,severne crescent,"",lauderdale,5086,qld,19721119
71067,"","",19663100,jasmine,miezitis,14,port jackson circuit,openshaw,st johns park,3183,wa,19940309
19875,"","",5467100,braiden,mcgregor,20,yarrow place,ashleigh house bergen court,brunswick west,4670,nsw,19801102
97011,0.9164311275976282,0.9164311275976282,26844100,samuel,green,1,schaffer place,westwood homestead,alton downs,3030,qld,19430614
133119,"","",36862100,william,white,114,illingworth street,platina,williamstown,3922,tas,19770303
131226,"","",36330102,karlee,deckert,27,sampson close,leith,st albans,2220,nsw,19800430
125052,"","",34622100,lara,coleman,"",mirbelia crescent,tulloch,hawthorn,2082,nsw,19050627
71013,"","",19646100,emiily,reid,111,kernot street,country club,lavington,3144,nsw,19340712
76485,"","",21176100,william,paterson,28,arthur circle,rubicon,lindfield,5043,wa,19390104
82983,0.8397901340316528,0.8872733919731589,22933102,hamish,paceyy,17,fairlane estate,jardine sreet,enoggera,3701,vic,19680427
7170,0.9940141113485899,0.9940141113485899,1968102,cameron,melin,8,"",green ways,ballina,850,vic,19251001
22800,0.9821970409934064,0.9949054530888062,6229103,aidan,kusunokx,10,reibey place,dusty corner,maiden gully,2650,nsw,19960827
66069,0.987473896300905,0.9938681114562278,18273101,destynii,velnaar,20,bage place,st vincents meidcal centre,westmeadows,3919,vic,19830908
14547,"","",4010100,sophie,bishop,23,crampton place,killarney east,wanneroo,2770,qld,""
110934,0.9112957393988315,0.9921472003379822,30703102,matteus,beddison,35,dugdale street,the swamp,eudlo,2305,nsw,19860706
81033,0.9925365294961155,0.9925365294961155,22402101,hamish,egan,9,harcourt ntreet,barnet brae,castlemaine,3550,qld,19100721
78699,"","",21766100,indiana,parkitny,45,saunders street,st johnof god hospital,camden,3555,qld,19240504
3045,"","",813100,layla,crook,14,threlfall street,warowie,st kilda,2261,qld,19140618
110709,"","",30645100,james,giday,"",gunning place,bunkers hill,dorrigo,2020,nsw,19061105
46644,"","",12860100,emiily,verschoor,214,nicholas street,keralta,newdegate,3207,qld,19631215
84027,"","",23213100,maya,wickel,3,darke street,yuraga,rye,2075,nsw,19681021
67104,0.9921632631782584,0.9921632631782584,18554101,taloa,arabilla,70,groom street,may covhtage,rankin park,4670,nsw,""
11718,"","",3246100,matilda,sharon,14,pennington crescent,redhill,albany creek,2325,nsw,19990305
42009,"","",11587100,jasmyn,roche,18,newman morris circuit,bega,maryvale,3814,vic,19810609
122334,"","",33874100,jade,white,29,marchant circuit,moodwood angus stud,currajong,5251,vic,19581208
38727,"","",10666100,cameron,riddell,214,renny place,windsor lodge,gaven,2101,vic,19731230
118521,0.9778247226049249,0.9940558586909772,32835103,bailey,wysjapm,7,tennyson crescent,ocean star villas,normanhurst,3188,nsw,19901209
39420,"","",10861100,aaliyah,bishop,26,lynch street,"",preston,3984,vic,19410110
56412,"","",15543100,caleb,nguyen,105,starke street,turon park,warnbro,3930,nsw,19010311
11661,"","",3232100,kyle,white,368,mawalan street,aberglasslyn cottage,avondale heights,2324,sa,19500521
95061,0.9912155471941761,0.9912155471941761,26293102,madison,nguyqen,7,merriman crescent,"",pooraa,2222,qld,19750731
115476,"","",31975100,allegra,george,265,currong street,rsm 849,condon,4211,qld,19301120
57102,"","",15738100,jessica,thorpe,8,paul coe crescent,elverstone,coromby,2034,wa,19580228
78027,0.9796204821146403,0.9941260379003176,21600102,kate,shelley,626,parfitt cirescent,burong,ivanhoe,2263,nsw,19340105
88527,0.8843184081568153,0.9903010300027028,24466100,nellie,rosadoni,4,stapylton street,adventist retrmnt vlge,north turramurra,3173,qld,19731130
121236,0.9512500487854143,0.9944603479375911,33571101,paris,goz,133,canberra avenue,teneriff e wharfs,buronga,2250,nsw,19140123
87723,"","",24251100,james,dixon,34,miethke place,glenora farm,taringa,4655,nsw,19971221
90588,"","",25035100,isabella,whisson,40,de burgh street,"",east melbourne,2343,vic,19660705
33966,"","",9316100,nathan,wraight,7,staaten crescent,bunya highway,burpengary,2337,tas,19030117
94656,"","",26185100,mikaela,reid,195,callaway crescent,willyaroo street,cooma,5279,"",19820827
58299,"","",16069100,hayden,soden,204,allott place,buckalow station,orange,3350,"",19960124
109539,"","",30314100,daniel,coleman,11,shean place,lee grazing farm,miami,2821,qld,19131214
82623,"","",22831100,timothy,twigger,21,arid place,ronobri,whalan,2710,nsw,19640605
67980,"","",18793100,anika,browne,255,hoddle garden,kinglake central,everard park,6059,nsw,19961128
127089,0.960760578111436,0.9923138789422881,35179101,isabzella,fauser,25,chinner crescent,magpie downs,east grjsford,2370,qld,19200402
2163,"","",561100,christian,goldsworthy,32,kennedy street,brandywine stud,thornbury,2845,vic,19610418
27282,"","",7469100,olivia,blackwell,115,brereton street,dusty corner,st lucia,2263,wa,19211224
89508,"","",24750100,madison,blackwell,89,howe crescent,morningsite,beulah park,2287,vic,19520617
63732,"","",17610100,joshua,nguyen,20,barr-smith avenue,bridies ranch,geelong west,2536,sa,19910903
121137,"","",33542100,noah,bishop,7,eungella street,villa 19,deakin,5086,nsw,19100723
108372,"","",29997100,kirra,ryan,"",clive steele avenue,"",prospect,4060,nsw,19910202
126651,"","",35043100,lauren,harrington,334,donnison place,larook,beenleigh,2250,nsw,19590203
96693,"","",26767100,chloe,white,24,leichhardt street,glebe garden,triabunna,3630,vic,19680903
112977,"","",31271100,lachlan,fitzpatrick,10,wittenoom crescent,"",leichhardt,2067,nsw,19330210
122514,0.9919552209225584,0.9919552209225584,33930101,joshuq,berry,213,kay close,"",lobethal,2747,nss,19720608
78708,"","",21769100,benedict,bradshaw,28,wylly place,kilberry,jamboree heights,2360,nsw,19570427
6351,"","",1732100,matisse,kenakidis,216,halford crescent,caroona village,leichhardt,2018,nsw,19180122
5835,"","",1586100,matthew,campbell,6,downward place,ferndale,chittaway point,3175,tas,19060613
58284,"","",16064100,anthony,beardon,29,buvelot street,lake kennedy street,ingleburn,4702,qld,19110830
15079,0.4077095949282733,0.8168023001991341,26901100,bayley,couch-keen,5,gairdner circuit,mynora,"",2165,vic,""
46068,"","",12702100,seth,reuter,10,weddin circuit,"",scarborough,2148,qld,19340722
35772,"","",9836100,sophie,shepherd,30,archibald street,balena farm,elanora heights,4223,qld,19330430
30303,"","",8290100,jamie,white,15,messenger street,parkwood piazza,salisbury,6065,vic,19120520
33060,0.9811904737981073,0.992132305596813,9076104,connor,green,12,wheadonstreet,bowen palms cfaravan park,whittington,3150,nsw,19340223
83127,"","",22974100,shelbey,ryan,19,leahy close,yacht emu,rye,3156,vic,19921029
12045,"","",3331100,carlin,clarke,"",sholl place,villa 115,lakes entrance,3644,qld,19211126
47613,"","",13128100,dylan,maczkowiack,"",tyagarah street,copely,franklin,2281,qld,19990103
52713,"","",14553100,jack,green,9,timboram street,feltonwood,magill,5081,vic,19991121
76971,"","",21311100,demie,simmonds,484,mcluckie crescent,scalabrini vlg,mayfield,3068,nsw,19440305
37353,0.9906918022219285,1.0,10288102,joel,salt,6,curtain place,aprt 5105,balaklava,2257,nsw,19340617
98787,"","",27340100,henry,jeffries,11,wynn street,ashell,parmelia,3021,"",19720724
85713,"","",23684100,thomas,muhldorff,12,ligertwood street,"",corio,2300,wa,19890611
51453,0.9837487970027552,0.993965125191941,14207100,stella,jeschke,31,powlett street,aprt 101,moranbah,7010,sa,19810323
103092,"","",28504100,philip,havelberg,5,hadleigh circuit,dryburgh cottage,huntfield heights,4700,wa,19550302
39708,"","",10946100,daniel,reid,21,cobby street,mlc centre,rochester,5163,vic,19870618
93486,"","",25857100,edward,malpas,35,richman place,rylestone,eleebana,4223,vic,19520105
41235,"","",11380100,olivia,cheshire,4,babinda place,willow lodge,albion park rail,2232,qld,19480105
47151,"","",12991100,lee,baddeley,144,wilshire street,red cross units,duncraig,4567,vic,19030210
110119,"","",67469100,mitchell,frogley,20,john young crescent,pangani,bullsbrook,6152,wa,19541224
3049,"","",37746100,amy,mahon,121,du faur street,mater professional centre,ardeer,2342,nsw,19880301
19441,"","",42252100,lucas,"",7,tanumbirini street,rosehill,avondale heights,2018,nsw,19510924
53782,"","",51890100,sophie,tollner,70,ware place,condor,devonport,2774,act,19581013
128983,"","",72729100,isabelle,thorpe,90,heidelberg street,kimbe,petersham,3931,qld,19950615
916,"","",37130100,harrison,stephenson,24,shirlow place,"",longreach,5204,vic,19821224
71560,"","",56895100,benjamin,estrella,75,eggleston crescent,currumbin hill,clayfield,5253,vic,19130309
84190,"","",60326100,jessica,white,60,callabonna street,"",rainworth,2427,nsw,19890722
55939,0.6520285527520153,0.8388463052346096,52502103,eberkt,lauren,23,fremantledrive,skeers property,bunbury,4670,vci,19500316
130777,"","",73228100,kirra,dolan,3,wettenhall circuit,sunday creek,old toongabbie,2027,vic,""
109066,"","",67170100,seth,clarke,14,monaro crescent,murray eden,regents park,4127,vic,19151017
49942,"","",50799100,shane,coleman,65,kosciusko avenue,tamar park,roxburgh park,3174,vic,19790113
120013,"","",70181100,harrison,truman,7,prendergast street,corunna,hoppers crossing,7000,vic,19500107
33940,"","",46319100,lucas,deakin,38,brigalow street,mannafields farm,ormeau,6062,vic,19440705
37348,"","",47269100,lucas,weaver,28,delprat circuit,abbaston,nunawading,2913,wa,19621227
70960,"","",56732100,benedict,morrison,47,mcclaughry place,red arrow,balwyn north,2250,qld,19900310
61036,"","",53933100,timothy,browne,28,harbison crescent,jameson park upper swan,nemingha,2261,vic,19900125
58897,"","",53341100,katharine,campbell,409,fairlight road,riverside station,ulverstone,2026,qld,19030929
123991,"","",71318100,natalie,bowerman,8,la perouse street,mudgeeraba market shopping centre,coolamon,2041,wa,19021026
19897,"","",42374100,tyler,feast,49,goodsir place,mar-lea,nicholls,3214,nsw,19821227
122116,"","",70767100,sascha,marshman,81,furneaux street,bowtells caravn park,thornleigh,3116,wa,19940904
44785,"","",49372100,dillon,ryan,19,fihelly street,knox retirement village,blacktown,2250,qld,19000411
48703,"","",50461100,callum,clarke,26,barlow street,st francis village,sunshine,3189,nsw,19150107
66064,"","",55341100,blayke,bishop,37,grylls crescent,dunmunkle lodge,burnie,3148,nsw,19860506
10018,"","",39688100,leon,garrood,794,bural court,amarillo,"",2041,nt,19381004
105106,0.9582884606331807,0.9582884606331807,66081100,georgia,reid,200,duggan street,wildes mdw,box hill south,6153,qld,19680514
99949,"","",64627100,william,sipa,102,knox street,tintagel,tarana,3585,nsw,19690808
4357,0.9791043670280478,0.9906533841492895,38114102,maya,nakahara,2,sherwood c ircuit,goulburn south caravan park,nedlands,3338,tas,19870227
86824,0.7662871697780546,0.9747504047290697,61053100,mitchell,flatman,9,nungara street,ainslie house,kirwan,4702,vic,19830128
21859,"","",42938100,daniel,pacey,20,charteris crescent,berkeley vlge,albany creek,3162,sa,19620501
13049,0.5057399806799806,0.5057399806799806,53474104,harry,stanley,20,"",glenmore,toow oomba,2217,nsw,19470212
51415,"","",51204100,daniel,heron,13,lukey place,villa 3,new residence,3226,qld,19440526
5059,"","",38301100,isabella,crook,6,crombie place,glen ayre,arana hills,2230,vic,19610812
38063,0.4219143465364783,0.9952227536000267,69302101,d'arcy,roling,45,harris place,ascotvalley,port pirie,2536,nsw,""
88546,"","",61539101,thombas,wilkins,122,tallono place,kmartp p laza,deer park,3810,vic,19031031
30316,"","",45302100,lara,green,10,starritt place,lindsay island,preston,2641,vic,19530921
1783,"","",37382100,georgia,ongley,45,lane-poole place,colbin park,old toongabbie,3207,nsw,19070406
1849,"","",37402100,shane,fitzpatrick,15,bendora crescent,oyster farm,south perth,6063,vic,19010215
106405,"","",66444100,kristen,stephenson,62,philp place,hse 73,asquith,6157,qld,19680506
106357,"","",66429100,isobel,statham,21,kinleyside crescent,woorinyan,yattalunga,2870,vic,19630515
62707,"","",54392100,connor,vidakovic,24,grieve place,sect 341,moe,2650,qld,19840513
20158,"","",42453100,sarah,green,2,gregson place,berkeley village,emu plains,3215,nsw,19000815
51865,"","",51335100,lily,reid,68,merriman crescent,waratana,humpty doo,3570,nsw,19550421
