z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
65697,"","",18164100,finn,swoboda,1,badcoe street,fernlea,artarmon,2233,qld,19440420
46578,"","",12844100,emiily,millar,3,melba street,rosetta village,nambour,3076,wa,19111116
123246,"","",34134100,shannon,mayer,7,whinham place,"",pascoe vale south,2148,nsw,19960316
4731,"","",1278100,roberta,neumann,6,bertram street,kellhaven,altona meadows,2000,nsw,19580522
89409,"","",24719100,zoe,leslie,151,yiman street,australian fair west,mulgrave east,2040,qld,19440718
129282,"","",35793100,liana,shepherd,25,eaton place,llcuttah,st kilda,3825,nsw,19840331
30546,"","",8359100,"",fitzpatrick,8,sinclair street,oak glen,edenhope,2250,vic,19110321
102198,"","",28259100,emiily,hingston,10,watt place,highvale village,canley heights,2047,wa,19360410
126015,0.9032062792315226,0.9037703221341559,34884102,dylsn,boxhall,87,lindrum crescent,locn 24,rochedale south,4076,wa,19130504
18792,"","",5172101,talia,ryan,"","",brentwoodcvlge,wingham,4305,qld,19860522
108021,"","",29901100,lauren,money,135,paul coe crescent,villa 19,mentone,2460,nsw,19301225
41283,"","",11392100,lily,bissett,19,port jackson circuit,antelle park,dianella,3860,nsw,19670709
14724,"","",4056100,ryleh,hingston,5,phillip avenue,lewin lodge,waubra,3152,nsw,19641228
26868,"","",7356100,taylah,morrison,27,rayner place,brentwood vlge,colac,3220,nsw,19880411
88476,"","",24449100,jasmine,white,1,hervey place,nullabean,pallamallawa,3000,vic,19121109
70785,"","",19586100,mackinley,bellchambers,1,capertee place,woodlands house,werribee south,2223,vic,19880726
17292,0.8914593115040161,0.9942322398448548,4762100,isaac,trainor,9,condamine street,autum lodge,toowoomba,3186,sa,19440902
75483,"","",20884100,zachary,foxall,4,city walk,bungarra,burleigh heads,3013,sa,19700504
8610,"","",2385100,samuel,green,1,cazaly close,aptmn 12,crestmead,2763,qld,19710323
84114,"","",23237100,jarvis,rigley,27,allott place,west aerodrome,wollongong north,3939,vic,19221018
15906,"","",4386100,jasmine,leslie,91,dent place,warwillah,greenacre,2800,qld,19800704
127893,0.9879314347670418,0.9916322720619642,35397101,jeffries,caitlin,57,champion place,wahbilla park,bundaberg,6025,vic,19540224
4986,"","",1355100,dillon,millar,18,dairy road,evergreen,kolora,4125,nsw,19860220
73719,"","",20395100,brooke,gibb,"",dartnell street,redhill,magill,2101,vic,19151109
33060,0.9857730159803834,0.992132305596813,9076101,connor,green,12,wheadon treet,bowen palms caravan park,whittington,3150,nsw,19340223
14879,0.4149789771658851,0.4149789771658851,10241100,freya,mcinnes-shelley,10,o'loghlen street,tannamurra,marion,2650,"",19961022
39306,"","",10836100,mia,"",342,pollock street,k mart plaza,condong,2614,sa,19430302
25146,"","",6886100,lara,lamprey,55,de little circuit,"",lilli pilli,5214,qld,19820214
12210,"","",3376100,callum,reid,78,daglish street,the lakes retirement village,harkaway,3556,nsw,19920223
121506,"","",33642100,jenna,campbell,4,light street,mandurah gardens est,annandale,2209,qld,19040515
81408,"","",22508100,max,higlett,13,cromwell circuit,glenlee,chester hill,2760,nsw,19820207
122277,"","",33858100,william,clarke,14,turnbull place,redlands,long jetty,2041,nsw,19580529
41916,"","",11562100,brigette,wiegold,6,knox street,bowen park,carlingford,2852,nsw,19480120
83475,"","",23077100,emiily,blackwell,27,hardwick crescent,stan-fast,lysterfield,4814,qld,19940718
13923,"","",3839100,lushia,green,81,freehill street,arbour cottage,new farm,3201,nsw,19230627
61332,"","",16917100,indiana,dixon,40,darwinia terrace,berowra,boddington,2257,sa,19730818
42045,"","",11597100,izaac,kinnane,16,hopetoun circuit,byron lodge,wahring,3976,sa,19791222
27924,"","",7644100,karlee,farnham,22,wentworth avenue,summer hill,toowoomba,4655,nsw,19090606
11814,0.9457846867388251,0.993965125191941,3278101,thomas,white,19,morant lcircuit,morago,rowville,6123,qld,19190805
2493,"","",659100,tahni,mcgregor,18,rymill place,the palms village,morwell,4350,vic,19400111
111678,"","",30915100,james,reid,15,macvitie place,dungavon,dungog,3857,qld,19140305
110796,"","",30665100,tara,orchard,422,krause place,oak park,nora creina,3126,nsw,19301207
69,"","",17100,joshua,clarke,107,hannan crescent,allanvale,denmark,2615,vic,19200710
103452,"","",28599100,finn,rudd,34,ern florence crescent,boeing park,ulladulla,6050,qld,19810901
16578,"","",4570100,holly,matthews,4,mackenzie street,lambrook,tamaree,2830,nsw,19651213
120765,"","",33440100,matthew,binns,13,mcmanus place,lazee m,applecross,2340,nsw,19850508
35697,"","",9817100,asha,green,"",skinner street,rocklea,terrigal,3630,vic,19700314
107208,0.9772080650481481,0.9947209756762142,29675103,nicholas,jardqne,8,hutcheson street,villa 2,matraville,2650,vic,19681207
53214,"","",14696100,lucy,barra,21,derrington crescent,locn 2093,colonel light gardens,2014,qld,19230901
89088,"","",24621100,"",ruso,33,hyndes crescent,curra park,scarborough,3976,sa,19510922
18729,0.9942838533313209,0.9942838533313209,5154101,karissa,coulton,37,penrhyn street,cohuna eastate,augathella,3144,nsw,19910320
91902,"","",25407100,david,fauser,41,bamford street,greenhills,helensburgh,7140,qld,19130819
125187,"","",34663100,phillip,matthews,182,stewart crescent,kippilaw,mount eliza,2444,nsw,19870901
111717,1.0,1.0,30927102,calb,gaskin,159,mceachern crescent,"",castlemaine,2304,qld,19250518
106350,"","",29435100,polly,demetriou,1,scoble place,weeroona,nairne,2747,nsw,19700914
24759,"","",6768100,zarran,vincent,33,skertchly place,spring grove,woodcroft,5540,nsw,19940507
13773,"","",3799100,tyler,morrison,4,meldrum street,felbrigg,ethelton,2720,sa,19840205
16368,0.9838084302513382,0.9838084302513382,4513100,callie,tollner,9,ashby circuit,kingswood park,adamstown,3724,nsw,19920507
89946,"","",24863100,benjamin,belperio,7,brunswick circuit,mannafields farm,elwood,3115,nsw,19800409
29817,"","",8156100,taylah,thredgold,29,brunswick circuit,nazareth village,"",2192,sa,19851113
86799,"","",23991100,hollie,noble,46,arakoon crescent,rmbe 770,east sydney,3192,qld,19951130
131982,"","",36535100,bella,yogarajan,25,hodgson crescent,swinger hill,bacchus marsh,2365,nsw,19041024
28311,0.9582755911906055,0.9928350757348307,7749103,mikahla,braithwaite,20,mulley street,lazy a crves,curl curl,2400,nsw,19690921
87108,"","",24075100,ava,purdon,45,newdegate street,denham park,cranbourne,2852,vic,19771227
99408,"","",27521100,harry,vimpany,2,lexcen avenue,twin top,cleveland,3977,vic,19370204
100173,"","",27730100,sean,mercorella,1,morant circuit,tregoning station,sunnybank,2090,qld,19191112
76386,"","",21149100,thomas,corbin,12,allchin circuit,"",athelstone,2765,nsw,19600427
78687,"","",21762100,adam,ellem,39,snodgrass crescent,rawdon hill,loganholme,2107,wa,19270921
40680,0.9894348661379841,0.9907739343837357,11223102,emma,doblinger,22,rylah crescent,pacifi c haven,melvile,5291,nsw,19720326
120624,1.0,1.0,33403100,"",lohe,8,newman morris circuit,kintyre,katherine,2500,sa,19250818
98316,"","",27216100,jasmine,webb,28,morrison street,21st,dromana,2131,sa,19340328
75006,"","",20746100,chloe,netherton,38,wade street,bellsbrook,minto,4350,nsw,19940922
14538,"","",4007100,callie,wasley,599,glossop crescent,"",launceston south,5419,sa,19370111
128304,"","",35509100,isabella,portlock,197,marchant circuit,glenforslan,tyrendarra,4075,nsw,19711018
4014,"","",1079100,hannah,casser,30,caley crescent,binna burra mountain lodge,mount gravatt,5235,nsw,19630408
26499,"","",7253102,emiily,tae-hyun,106,wiburd street,"",mount mee,3941,qld,19231328
121623,"","",33675100,hayley,fey,7,yerrabi place,cheshire,long beach,2045,nsw,19770929
78636,"","",21751100,callum,marshman,195,clancy street,bambra-aireys,woodlands,2550,qld,19800428
18717,1.0,1.0,5151100,jairus,stephenson,25,lewis luxton avenue,mountain view village,dalby,2171,nsw,19930116
34224,"","",9395100,ashlee,tasevski,40,burkitt street,ocean star villas,beaudesert,2216,vic,19500504
926,0.5688604593191853,0.9905286822761055,7728101,william,radulescu,137,castley circuit,gracemeregrdns,ryde,3174,vic,19820813
91719,"","",25358100,harry,nubel,84,edge place,culgoa,balwyn north,6028,tas,19740723
102387,"","",28313100,paige,passmore,20,bugden avenue,townview,south west rocks,2261,vic,19860227
70731,"","",19568100,lucas,kassoudakis,12,mehaffey crescent,cotton tree caravan park,blair athol,2573,nsw,19090412
57117,"","",15743100,charlotte,bullock,125,kellick place,bowan brae,stretton,4272,nsw,19610730
62805,0.9691968780237,0.9924229130626093,17352101,joly,silas,72,tilden place,caroona village,redan,2576,vic,19030815
42210,"","",11646100,sophie,flatman,78,totterdell street,specialist centre,campsie,2463,nsw,19440718
118201,0.9861620498982611,0.9861620498982611,69690100,zach,litten,4,arrietta close,galashiels,kangaroo flat,5074,nsw,19590211
99598,"","",64540100,kate,morrison,6,hakea crescent,ascotvalley,burleigh waters,4217,sa,19750409
93853,0.42734959288055224,0.42734959288055224,62956100,kailey,bellchambers,91,dominion circuit,wongamine,north ryde,2063,nsw,""
78655,"","",58819100,mikhayla,lipscombe,7,bardsley place,blacklead farm,nunawading,2747,qld,19241106
32875,"","",46028100,alysha,lowe,22,antill street,pindara medical centre,ulverstone,6058,vic,19530211
128773,"","",72674100,hannah,dixon,"",nunan crescent,kerradan,toorak,4659,qld,19110810
125992,"","",71907100,alex,green,38,julia flynn avenue,maclee,collie,3032,nsw,19971227
61483,"","",54055100,abbey,hassell,59,shumack street,wildflower estate,roselands,4129,qld,19421216
84526,"","",60412100,campbell,noble,41,galloway street,archdale back,whitebridge,3152,tas,19221116
16231,0.8227296761935654,0.9199817031878587,41385102,sophie,cummin,4,horrocks street,"",sherwood,4551,nsw,19461008
87796,"","",61336100,cooper,bakken,39,blamey crescent,idle hours,elwood,3793,vic,19521120
27898,"","",44643100,david,haussen,70,cuscaden crescent,red river,upwey,2166,vic,19800715
118924,"","",69886100,isabella,cockerham,15,blamey crescent,rockdan,laverton,2094,wa,19400831
107662,0.6568333782277151,0.984569068764465,66788101,kyle,coppila,10,wallaby place,dianella masonic villgae (cnr cornwell s,tarrgaindi,4680,qld,19740311
5543,0.6325694860739687,0.6325694860739687,44041102,jordan,fullgrabe,5,nicholas street,morningside general,toowong,2153,vic,19700622
61267,"","",54001100,channing,boyle,9,gledden street,torrington,hallsville,6030,nsw,19631014
80548,"","",59316100,oscar,snelling,29,pryton close,windy gully,east maitland,3139,vic,19751226
51502,"","",51230100,michael,collier,26,lind close,mayflower retrmnt vlge,elizabeth park,2283,vic,19520623
9358,"","",39509100,amy,clarke,7,la perouse street,bristin,hoppers crossing,2602,qld,19270405
20767,"","",42630100,nicholas,ryan,14,altson circuit,"",burwood east,4870,sa,19510626
76888,"","",58322100,tara,bishop,213,hanretty place,kirkdale,gundary,2537,vic,19961213
6712,0.9949951302479085,0.9949951302479085,38781100,kiarnee,beattie,11,macrossan crescent,"",davistown,2350,sa,19260911
53767,"","",51885100,kirra,seib,22,gelane street,john flynn medical centre,eudunda,2758,qld,19160219
119527,"","",70040100,juliana,hoehne,163,"",ulva,sheidow park,2800,sa,19521203
6655,"","",38762100,kane,roles,67,vickery street,st francis village,mitcham,4455,vic,19570215
115414,0.9280988467483439,0.9280988467483439,68921100,patrick,pelling,43,gangele street,timdoolin,rosetta,6050,vic,19521216
21370,"","",42790100,mackinley,campbell,12,conyers street,menora,moe,2304,sa,19840418
1504,"","",37307100,thomas,tiller,40,wiburd street,strabane,oakey,2035,qld,""
14452,"","",40893100,aidan,white,34,osburn drive,"",wangaratta,6104,qld,19420629
87160,"","",61155100,jordan,wierda,8,port jackson circuit,moorilla,dianella,4655,vic,19861012
104203,"","",65814100,aidan,bruinewoud,28,fuhrman street,wattle brae,hoppers crossing,2011,qld,19250515
62557,0.989265181816465,0.9901831127284186,54356102,jack,fakaris,42,pocket svenue,myalp a,maryborough,3068,"",19130323
23392,0.9824974757822719,0.993570969468979,43365101,brooje,matthiews,22,sexton street,muny apla,lower templestowe,4870,wa,19920314
30559,0.993694063199365,1.0,45378102,taelna,pryer,31,brennan street,flr 1 the professional centre,devonport,3058,"",""
11020,"","",39955100,shawn,coleman,12,angliss place,wagin medical centre,greensborough,2515,nsw,19830521
57592,"","",52971100,imogen,manson,8,oats place,dolphin arcade,terrigal,3175,vic,19290421
34471,"","",46473100,taylor,irons,47,cheeke place,calandra,ballina,4670,nsw,19810217
12904,"","",40472100,jarrod,wheatley,176,crozier circuit,raffa estate,tathra,3170,vic,19041007
105730,"","",66262100,bethany,ruskin,16,florence taylor street,dolphin arcade,dianella,3340,qld,19271014
41521,0.8737256038263876,0.993064166740068,48458100,julia,ronan,45,henty street,kildurham,mawson,3220,nsw,19410531
104611,"","",65934100,rohan,nguyen,15,leichhardt street,rockview,warren,870,nsw,19081126
124861,"","",71581100,jessica,bevin,181,light street,dolphin arcade,east hills,4223,nsw,19861028
130573,"","",73163100,alana,lete,50,fink crescent,studio indigo,woy woy,4300,nsw,19931202
19657,"","",42310100,jesse,"",91,birrigai square,lochenfels,rose bay,2167,nsw,19121027
4357,0.9791043670280478,1.0,38114103,amya,krix,2,sherwood circuit,goulburn south caravan park,nedlands,3338,tas,19870227
